model,group,dimensions,parameters,num_objects,num_posterior_samples,num_regions,score,ideal_score,delta_from_ideal,theoretical_variance,theoretical_sigma,mira_std,region_mc_std,bootstrap_mean,bootstrap_std,bootstrap_q025,bootstrap_q16,bootstrap_q84,bootstrap_q975,group_seed,bootstrap_seed
ema_iw,marginal_sfh_dlog_sfr_02,1,sfh_dlog_sfr_02,512,128,100,0.555531618280454,0.6666666666666666,-0.11113504838621258,0.00010850694444444444,0.010416666666666666,0.012115964403472713,0.012115964403472713,0.5548273336098616,0.012977350616539287,0.5285484333654807,0.5421398945977535,0.5679626486002007,0.5800968191776306,1020577339,192613834
raw_q,marginal_sfh_dlog_sfr_03,1,sfh_dlog_sfr_03,512,128,100,0.6963273646545685,0.6666666666666666,0.02966069798790183,0.00010850694444444444,0.010416666666666666,0.00994044603945843,0.00994044603945843,0.6963322016907193,0.009397584442125993,0.6775394464937576,0.6869921900592453,0.7060314967707972,0.7139289882552958,1019920746,3070714298
raw_iw,marginal_sfh_dlog_sfr_03,1,sfh_dlog_sfr_03,512,128,100,0.6603443933291152,0.6666666666666666,-0.006322273337551421,0.00010850694444444444,0.010416666666666666,0.010810267467715767,0.010810267467715767,0.6600171533376618,0.011170348252885105,0.6374034905336927,0.6490563989022985,0.6706463648030399,0.681693270361771,1019920746,3070714298
ema_q,marginal_sfh_dlog_sfr_03,1,sfh_dlog_sfr_03,512,128,100,0.6968252589435326,0.6666666666666666,0.030158592276866014,0.00010850694444444444,0.010416666666666666,0.009070122626584945,0.009070122626584945,0.6967242152419844,0.009810142301587695,0.6776557947607926,0.6869665552935248,0.7063775661080239,0.7147544887466524,1019920746,3070714298
ema_iw,marginal_sfh_dlog_sfr_03,1,sfh_dlog_sfr_03,512,128,100,0.6580633569436646,0.6666666666666666,-0.00860330972300205,0.00010850694444444444,0.010416666666666666,0.009302653047859571,0.009302653047859571,0.6577977777190425,0.01116615770070056,0.6346431755820034,0.6471990990906921,0.6683044458490031,0.679927065521207,1019920746,3070714298
raw_q,marginal_sfh_dlog_sfr_04,1,sfh_dlog_sfr_04,512,128,100,0.5996012900754857,0.6666666666666666,-0.06706537659118095,0.00010850694444444444,0.010416666666666666,0.0121264166893642,0.0121264166893642,0.5994752982537273,0.011886090949869518,0.5764446280019158,0.587613527579656,0.6115008567702057,0.6221786522201398,3557841925,1847448365
raw_iw,marginal_sfh_dlog_sfr_04,1,sfh_dlog_sfr_04,512,128,100,0.5402331563094003,0.6666666666666666,-0.12643351035726635,0.00010850694444444444,0.010416666666666666,0.010477022193056386,0.010477022193056386,0.5396853047448594,0.013500596457830409,0.5135799427091328,0.5266674824307392,0.5526757833088777,0.5659549734218231,3557841925,1847448365
ema_q,marginal_sfh_dlog_sfr_04,1,sfh_dlog_sfr_04,512,128,100,0.6051103232991335,0.6666666666666666,-0.06155634336753313,0.00010850694444444444,0.010416666666666666,0.011800247342389393,0.011800247342389393,0.6045628532043206,0.011548307145054719,0.5814926169123226,0.5930053733028672,0.616274416358301,0.6265178703759531,3557841925,1847448365
ema_iw,marginal_sfh_dlog_sfr_04,1,sfh_dlog_sfr_04,512,128,100,0.5447232075956583,0.6666666666666666,-0.12194345907100834,0.00010850694444444444,0.010416666666666666,0.010888776984678699,0.010888776984678699,0.54373764240644,0.013494776289048454,0.516178133026429,0.530215456076769,0.5566400167220832,0.5705986044205673,3557841925,1847448365
raw_q,marginal_sfh_dlog_sfr_05,1,sfh_dlog_sfr_05,512,128,100,0.6467912316575319,0.6666666666666666,-0.01987543500913469,0.00010850694444444444,0.010416666666666666,0.009466690892379835,0.009466690892379835,0.6470954613949934,0.010997429216544254,0.6260444664435255,0.6357855248294232,0.6582434106552728,0.6691467310083908,2265611773,3645953168
raw_iw,marginal_sfh_dlog_sfr_05,1,sfh_dlog_sfr_05,512,128,100,0.5991384910014961,0.6666666666666666,-0.06752817566517055,0.00010850694444444444,0.010416666666666666,0.01098344429157255,0.01098344429157255,0.5992905295762812,0.012611378150614227,0.5746910116623752,0.5868566916393365,0.612133791342876,0.62371101611745,2265611773,3645953168
ema_q,marginal_sfh_dlog_sfr_05,1,sfh_dlog_sfr_05,512,128,100,0.6468586755054395,0.6666666666666666,-0.019807991161227112,0.00010850694444444444,0.010416666666666666,0.011409357277410522,0.011409357277410522,0.6469278741140956,0.010864433061100047,0.6258770012329407,0.636398317800456,0.6572467065499973,0.6676235223845524,2265611773,3645953168
ema_iw,marginal_sfh_dlog_sfr_05,1,sfh_dlog_sfr_05,512,128,100,0.6012052939877112,0.6666666666666666,-0.06546137267895547,0.00010850694444444444,0.010416666666666666,0.013016856258684291,0.013016856258684291,0.6012155326352101,0.012550297718757871,0.5773765585473797,0.5882849143009071,0.6135125755276999,0.6264717125388671,2265611773,3645953168
raw_q,marginal_sfh_dlog_sfr_06,1,sfh_dlog_sfr_06,512,128,100,0.5544499227197838,0.6666666666666666,-0.11221674394688286,0.00010850694444444444,0.010416666666666666,0.01185812207502749,0.01185812207502749,0.5550642415697286,0.012731003189562991,0.5294315357857627,0.5421832295588525,0.5678955099280756,0.578740312824921,236341808,373582611
raw_iw,marginal_sfh_dlog_sfr_06,1,sfh_dlog_sfr_06,512,128,100,0.5030346698427002,0.6666666666666666,-0.16363199682396645,0.00010850694444444444,0.010416666666666666,0.014118851769285458,0.014118851769285458,0.5031056995060507,0.01340021345311631,0.4771255510938374,0.4897106951836895,0.5158612079764202,0.5298614521692002,236341808,373582611
ema_q,marginal_sfh_dlog_sfr_06,1,sfh_dlog_sfr_06,512,128,100,0.5568611165764225,0.6666666666666666,-0.10980555009024418,0.00010850694444444444,0.010416666666666666,0.013212928547562496,0.013212928547562496,0.5569340993647802,0.012736169640840473,0.5327106495675096,0.5438385030025188,0.5695159933325499,0.5811447165204014,236341808,373582611
ema_iw,marginal_sfh_dlog_sfr_06,1,sfh_dlog_sfr_06,512,128,100,0.49797592348596426,0.6666666666666666,-0.16869074318070237,0.00010850694444444444,0.010416666666666666,0.01236288275045563,0.01236288275045563,0.49839976687133225,0.013120195468967706,0.47277755913428055,0.4847564715324211,0.5116497821794814,0.5237468738993514,236341808,373582611
raw_q,marginal_sfh_dlog_sfr_07,1,sfh_dlog_sfr_07,512,128,100,0.6113174461249912,0.6666666666666666,-0.05534922054167546,0.00010850694444444444,0.010416666666666666,0.012979637848375412,0.012979637848375412,0.6106884025435463,0.011302899309833093,0.5879486105887167,0.5995282004756041,0.6224743675532727,0.6335933708905926,3293514327,2900502350
raw_iw,marginal_sfh_dlog_sfr_07,1,sfh_dlog_sfr_07,512,128,100,0.5591178914871733,0.6666666666666666,-0.10754877517949335,0.00010850694444444444,0.010416666666666666,0.012846899360646083,0.012846899360646083,0.5593336965416882,0.01251248746508447,0.5347579975975976,0.5466766377787167,0.5722802755694102,0.583132173803196,3293514327,2900502350
ema_q,marginal_sfh_dlog_sfr_07,1,sfh_dlog_sfr_07,512,128,100,0.6111026023741908,0.6666666666666666,-0.055564064292475845,0.00010850694444444444,0.010416666666666666,0.010759555195561592,0.010759555195561592,0.6106965049605686,0.011961986414395021,0.5850666067938007,0.598856813754353,0.6227001976322389,0.6326622032845848,3293514327,2900502350
ema_iw,marginal_sfh_dlog_sfr_07,1,sfh_dlog_sfr_07,512,128,100,0.5586160299130382,0.6666666666666666,-0.10805063675362847,0.00010850694444444444,0.010416666666666666,0.011579947364722981,0.011579947364722981,0.5587206746888186,0.013025728266284873,0.5333339711030348,0.5455908223449842,0.5725268576015787,0.5835426352305063,3293514327,2900502350
raw_q,marginal_sfh_dlog_sfr_08,1,sfh_dlog_sfr_08,512,128,100,0.545600893145803,0.6666666666666666,-0.12106577352086367,0.00010850694444444444,0.010416666666666666,0.014414317636151096,0.014414317636151096,0.5454994527157375,0.013269872055082878,0.5206127186142382,0.5324963398743284,0.5584783956351816,0.5733802816770236,720457340,935912535
